Seed,Day,Hour,Time (minutes),Station ID,Total Bikes,Usable Bikes,Unusable Bikes,Avg Maintenance Criticality,Capacity
1,0,14,840,S26,2,2,0,0.4593,32
1,0,14,840,S27,19,19,0,0.4556,26
1,0,14,840,S28,14,14,0,0.5152,30
1,0,14,840,S29,3,2,1,0.5606,30
1,0,14,840,S30,5,5,0,0.3616,15
1,0,14,840,S31,25,25,0,0.4026,43
1,0,14,840,S32,10,10,0,0.3879,24
1,0,14,840,S33,12,12,0,0.4047,27
1,0,14,840,S34,0,0,0,0.0,25
1,0,14,840,S35,1,0,1,0.9008,24
1,0,14,840,S36,1,0,1,0.9083,21
1,0,14,840,S37,29,28,1,0.4488,37
1,0,14,840,S38,7,7,0,0.4622,19
1,0,14,840,S39,21,21,0,0.4632,36
1,0,14,840,S40,11,11,0,0.4252,21
1,0,14,840,S41,16,16,0,0.4063,30
1,0,14,840,S42,1,1,0,0.248,21
1,0,14,840,S43,19,19,0,0.3869,31
1,0,14,840,S44,10,10,0,0.5285,20
1,0,14,840,S45,0,0,0,0.0,13
1,0,14,840,S46,3,3,0,0.3551,25
1,0,14,840,S47,12,11,1,0.5195,24
1,0,14,840,S48,8,8,0,0.4009,17
1,0,14,840,S49,18,18,0,0.4449,21
1,0,14,840,S50,0,0,0,0.0,30
1,0,14,840,S51,20,20,0,0.4431,22
1,0,14,840,S52,15,15,0,0.4507,19
1,0,14,840,S53,16,16,0,0.5359,31
1,0,14,840,S54,10,10,0,0.425,24
1,0,14,840,S55,12,12,0,0.4627,31
1,0,14,840,S56,7,7,0,0.4809,12
1,0,14,840,S57,0,0,0,0.0,25
1,0,14,840,S58,20,20,0,0.4411,30
1,0,14,840,S59,30,30,0,0.4379,37
1,0,14,840,S60,22,20,2,0.4975,31
1,0,14,840,S61,14,14,0,0.4374,16
1,0,14,840,S62,23,23,0,0.4508,26
1,0,14,840,S63,14,14,0,0.5198,28
1,0,14,840,S64,7,7,0,0.5209,13
1,0,14,840,S65,12,12,0,0.4448,25
1,0,14,840,S66,13,13,0,0.3355,24
1,0,15,900,S0,12,12,0,0.3532,21
1,0,15,900,S1,0,0,0,0.0,15
1,0,15,900,S2,11,11,0,0.4692,24
1,0,15,900,S3,14,14,0,0.4371,18
1,0,15,900,S4,6,6,0,0.4758,18
1,0,15,900,S5,11,11,0,0.4487,24
1,0,15,900,S6,17,17,0,0.3985,21
1,0,15,900,S7,13,13,0,0.304,26
1,0,15,900,S8,14,13,1,0.4339,22
1,0,15,900,S9,7,7,0,0.4734,12
1,0,15,900,S10,0,0,0,0.0,18
1,0,15,900,S11,1,0,1,0.9492,17
1,0,15,900,S12,24,23,1,0.4441,24
1,0,15,900,S13,19,19,0,0.4541,29
1,0,15,900,S14,2,2,0,0.3382,13
1,0,15,900,S15,0,0,0,0.0,27
1,0,15,900,S16,15,15,0,0.4919,15
1,0,15,900,S17,1,0,1,0.9112,25
1,0,15,900,S18,13,12,1,0.4809,24
1,0,15,900,S19,8,8,0,0.5012,13
1,0,15,900,S20,11,11,0,0.561,18
1,0,15,900,S21,0,0,0,0.0,12
1,0,15,900,S22,11,11,0,0.3539,24
1,0,15,900,S23,14,14,0,0.3305,15
1,0,15,900,S24,8,8,0,0.4975,24
1,0,15,900,S25,8,8,0,0.4125,24
1,0,15,900,S26,0,0,0,0.0,32
1,0,15,900,S27,22,22,0,0.4661,26
